,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,id_parcelle,lot1_numero,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,surface_terrain,longitude,latitude
504448,2020-203348,2020-12-29,1,Vente,180000.0,13.0,LOT LES EGLANTINES,A020,26250.0,26165,Livron-sur-Drôme,26,26165000BI0285,13.0,1,1.0,Maison,115.0,2.0,S,sols,219.0,4.831248,44.771083
1638527,2020-691268,2020-09-01,1,Vente,575000.0,14.0,CHE DE CHAZELLES,0250,69230.0,69204,Saint-Genis-Laval,69,69204000BA0010,5,1,2.0,Appartement,82.0,4.0,S,sols,1222.0,4.803293,45.693825
1738126,2020-731460,2020-04-07,1,Vente,610020.0,14.0,RTE DES LOGIS FLEURIS,3308,74600.0,74010,Annecy,74,74010268AV0041,1.0,1,1.0,Maison,126.0,4.0,S,sols,1223.0,6.109337,45.887967
1844585,2020-780198,2020-07-09,1,Vente,270000.0,5.0,ALL DES AIGRETTES,0005,77183.0,77146,Croissy-Beaubourg,77,77146000AB0020,41.0,1,1.0,Maison,73.0,4.0,S,sols,131.0,2.653579,48.82107
1898297,2020-806059,2020-02-28,1,Vente,500000.0,6.0,RUE DES LONGUES RAIES,1113,78440.0,78267,Gargenville,78,78267000AD0087,1.0,1,4.0,Local industriel. commercial ou assimilé,135.0,0.0,J,jardins,1165.0,1.806035,48.977961
508719,2020-205221,2020-06-24,1,Vente,145000.0,1.0,RUE DE LA GRAVELLE,1290,27200.0,27681,Vernon,27,27681000XC0350,6.0,1,2.0,Appartement,55.0,2.0,AG,terrains d'agrément,10.0,1.489958,49.091908
1810974,2020-765754,2020-09-09,1,Vente,151000.0,44.0,RUE DES GRANDS TAILLIS,0905,77140.0,77431,Saint-Pierre-lès-Nemours,77,77431000BA0043,184.0,1,1.0,Maison,84.0,4.0,S,sols,300.0,2.669475,48.276016
754195,2020-311834,2020-10-15,1,Vente,129500.0,3.0,RUE DE LA REVOLUTION,1800,34200.0,34301,Sète,34,34301000AO0784,9.0,1,2.0,Appartement,35.0,2.0,S,sols,50.0,3.691251,43.404266
968019,2020-403679,2020-10-02,1,Vente,215600.0,8.0,RUE PABLO NERUDA,1415,42700.0,42095,Firminy,42,42095000AX0017,23.0,1,1.0,Maison,89.0,5.0,S,sols,618.0,4.293405,45.378196
760212,2020-314682,2020-02-21,1,Vente,139000.0,2.0,RUE DE L ARAMON,0095,34300.0,34003,Agde,34,34003000KM0058,6.0,1,1.0,Maison,38.0,2.0,S,sols,105.0,3.508818,43.29237
1583824,2020-664444,2020-11-25,1,Vente,151710.0,12.0,IMP THEN GUIRAUT,0859,64140.0,64348,Lons,64,64348000AW0048,2.0,1,1.0,Maison,74.0,4.0,J,jardins,281.0,-0.381498,43.325959
1638090,2020-691068,2020-09-03,1,Vente,412150.0,27.0,PL DE  L EGLISE,0050,69530.0,69148,Orliénas,69,69148000AM0089,8.0,1,1.0,Maison,150.0,4.0,S,sols,174.0,4.71829,45.659016
1852037,2020-783782,2020-10-30,1,Vente,304800.0,16.0,RUE PASTEUR,0500,77360.0,77479,Vaires-sur-Marne,77,77479000AN0300,1,1,2.0,Appartement,76.0,4.0,AG,terrains d'agrément,89.0,2.629407,48.871751
1776741,2020-749658,2020-07-07,1,Vente,52000.0,63.0,PL MAURICE BLARD,5556,76610.0,76351,Le Havre,76,76351539AE0175,1.0,1,4.0,Local industriel. commercial ou assimilé,50.0,0.0,S,sols,109.0,0.161223,49.522271
126580,2020-56214,2020-03-16,1,Vente,435000.0,30.0,CHE DES BASTIDES SAINT ANTOINE,0331,6130.0,6069,Grasse,6,06069000CH0106,5.0,1,1.0,Maison,82.0,3.0,S,sols,729.0,6.9238,43.64347
1647985,2020-695387,2020-08-26,1,Vente,965760.0,8.0,RUE DU VALLON TOREY,1100,69160.0,69244,Tassin-la-Demi-Lune,69,69244000BH0062,4,1,1.0,Maison,144.0,4.0,AG,terrains d'agrément,812.0,4.752548,45.755801
2204230,2020-937048,2020-11-03,1,Vente,213000.0,10.0,ALL DES POTAGERS,1446,91240.0,91570,Saint-Michel-sur-Orge,91,91570000AB0285,2.0,1,1.0,Maison,60.0,1.0,S,sols,234.0,2.3087,48.642357
252956,2020-110552,2020-02-04,1,Vente,328700.0,6.0,CHE DE LA HAUTE BEDOULE,0124,13240.0,13106,Septèmes-les-Vallons,13,13106000AH0195,2.0,1,2.0,Appartement,60.0,3.0,AB,terrains a bâtir,693.0,5.360062,43.406455
125220,2020-55536,2020-01-20,1,Vente,390000.0,30.0,CHE DES BASTIDES SAINT ANTOINE,0331,6130.0,6069,Grasse,6,06069000CH0106,6.0,1,1.0,Maison,89.0,4.0,S,sols,690.0,6.9238,43.64347
321096,2020-137170,2020-04-02,1,Vente,198000.0,1.0,RUE GUY DE MAUPASSANT,3970,17000.0,17300,La Rochelle,17,17300000BR0001,86,1,1.0,Maison,80.0,5.0,S,sols,334.0,-1.189422,46.169637
2329603,2020-1001917,2020-09-10,1,Vente,240000.0,12.0,RUE DU PIGEONNIER,0610,94440.0,94075,Villecresnes,94,94075000AN0290,5.0,1,2.0,Appartement,43.0,2.0,S,sols,194.0,2.529671,48.710555
